12091144000180010120253101202501022025FUNDO DE PREVIDENCIA SOCIAL RPPS                                                
2018300000000000000DESPESAS CORRENTES                                                                                            S01
2018319092000000000DESPESAS DE EXERCICIOS ANTERIORES                                                                             S05
2018319092010000000ATIVO CIVIL                                                                                                   A06
2018319092020000000INATIVO CIVIL                                                                                                 A06
2018319092040000000OUTRAS DESPESAS VARIAVEIS - CIVIL                                                                             A06
2018319092050000000OBRIGACOES PATRONAIS - ATIVO CIVIL                                                                            A06
2018319092060000000OBRIGACOES PATRONAIS - INATIVO CIVIL                                                                          A06
2018319092120000000PENSIONISTA CIVIL                                                                                             A06
2018319092230000000GRATIFICACAO POR TEMPO DE SERVICO-ANUENIO ATIVO CIVIL                                                         A06
2018319092240000000GRATIFICACAO POR  TEMPO DE SERVICO-ANUENIO INATIVO CIVIL                                                      A06
2018319092250000000GRATIFICACAO POR TEMPO DE SERVICO-ANUENIO PENSIONISTA  CIVIL                                                  A06
2018319092260000000RESSARCIMENTO DE DESPESAS DE PESSOAL REQUISITADO                                                              A06
2018319092910000000PRECATORIOS                                                                                                   A06
2018319092990000000OUTRAS DESPESAS DE EXERCICIOS ANTERIORES                                                                      A06
2018319094000000000INDENIZAES E RESTITUIES TRABALHISTAS                                                                          S05
2018319094010000000INDENIZACOES TRABALHISTAS - ATIVO CIVIL                                                                       S06
2018319094010100000INDENIZACAO PARA DEMISSAO DE SERVIDORES/ EMPREGADOS                                                           A07
2018319094010200000DESPESAS RELATIVAS A PROGRAMAS DE  DESLIGAMENTO VOLUNTARIO                                                    A07
2018319094010300000FRIAS  AVISO PREVIO E/OU 13 SALRIO  INDENIZADOS                                                               A07
2018319094030000000INDENIZACOES TRABALHISTAS - INATIVO CIVIL                                                                     A06
2018319094130000000INDENIZACOES TRABALHISTAS - PENSIONISTA CIVIL                                                                 A06
2018319094990000000DIVERSAS INDENIZACOES TRABALHISTAS                                                                            A06
2018319094993000000ENCARGOS SOBRE INDENIZACOES TRABALHISTAS                                                                      A07
2018319096000000000RESSARCIMENTO DE DESPESAS DE PESSOAL REQUISITADO                                                              S05
2018319096010000000PESSOAL REQUISITADO DE OUTROS ORGAOS                                                                          A06
2018319100000000000APLICAO DIRETA DECORRENTE DE OPERAO ENTRE RGOS FUNDOS E ENTIDADES INTEGRANTES DOS ORAMENTOS                   S04
2018319113000000000OBRIGAES PATRONAIS                                                                                            S05
2018319113030000000CONTRIBUIO PATRONAL PARA O RPPS                                                                               S06
2018319113030100000CONTRIBUICOES PATRONAIS PARA O RPPS - ATIVO CIVIL                                                             A07
2018319113030200000CONTRIBUICOES PATRONAIS PARA O RPPS - INATIVO CIVIL                                                           A07
2018319113030300000CONTRIBUICOES PATRONAIS PARA O RPPS - PENSIONISTA                                                             A07
2018319113030400000CONTRIBUICOES PATRONAIS PARA O RPPS - VEREADORES                                                              A07
2018319113080000000PLANO DE SEGURIDADE  SOCIAL DO SERVIDOR - PESSOAL  ATIVO                                                      S06
2018319113080100000CONTRIBUICAO PATRONAL PARA O ATENDIMENTO A SAUDE DO SERVIDOR ATIVO                                            A07
2018319113080200000CONTRIBUICAO PATRONAL PARA A ASSISTENCIA SOCIAL DO SERVIDOR ATIVO                                             A07
2018319113100000000PLANO DE SEGURIDADE  SOCIAL DO SERVIDOR - PESSOAL  INATIVO                                                    S06
2018319113100100000CONTRIBUICAO PATRONAL PARA O ATENDIMENTO A SAUDE DO SERVIDOR INATIVO                                          A07
2018319113100200000CONTRIBUICAO PATRONAL PARA A ASSISTENCIA SOCIAL DO SERVIDOR INATIVO                                           A07
2018319113120000000PLANO DE SEGURIDADE  SOCIAL DO PENSIONISTA                                                                    S06
2018319113120100000CONTRIBUICAO PATRONAL PARA O ATENDIMENTO A SAUDE DO PENSIONISTA                                               A07
2018319113120200000CONTRIBUICAO PATRONAL PARA A ASSISTENCIA SOCIAL DO PENSIONISTA                                                A07
2018319113150000000MULTAS                                                                                                        S06
2018319113150100000MULTAS SOBRE A CONTRIBUIO PATRONAL PARA O RPPS                                                                A07
2018319113150200000MULTAS SOBRE A CONTRIBUIO PATRONAL PARA O PLANO DE SEGURIDADE  SOCIAL DO SERVIDOR                             A07
2018319113170000000JUROS                                                                                                         S06
2018319113170100000JUROS SOBRE A CONTRIBUIO PATRONAL PARA O RPPS                                                                 A07
2018319113170200000JUROS SOBRE A CONTRIBUIO PATRONAL PARA O PLANO DE SEGURIDADE  SOCIAL DO SERVIDOR                              A07
2018319113400000000ENCARGOS DE PESSOAL REQUISITADO DE OUTROS ENTES                                                               A06
2018319113990000000OUTRAS OBRIGACOES PATRONAIS                                                                                   S06
2018319113990100000AMORTIZAO DO PASSIVO ATUARIAL COM O RPPS - ALQUOTA SUPLEMENTAR                                                A07
2018319192000000000DESPESAS DE EXERCICIOS ANTERIORES                                                                             S05
2018319192050000000OBRIGACOES PATRONAIS - ATIVO CIVIL                                                                            A06
2018319192060000000OBRIGACOES PATRONAIS - INATIVO CIVIL                                                                          A06
2018319192130000000MULTAS                                                                                                        A06
2018319192170000000JUROS                                                                                                         A06
2018319192260000000RESSARCIMENTO DE DESPESAS DE PESSOAL REQUISITADO                                                              A06
2018319192990000000OUTRAS DESPESAS DE EXERCICIOS ANTERIORES                                                                      A06
2018319196000000000RESSARCIMENTO DE DESPESAS DE PESSOAL REQUISITADO - OPERAES INTRA-ORAMENTARIAS                                 S05
2018319196010000000PESSOAL REQUISITADO DE OUTROS ORGOS                                                                           A06
2018320000000000000JUROS E ENCARGOS DA DIVIDA                                                                                    S02
2018329000000000000APLICAES DIRETAS                                                                                              S03
2018329021000000000JUROS SOBRE A DVIDA POR CONTRATO                                                                              S05
2018329021010000000JUROS DA DIVIDA CONTRATADA COM INSTITUICOES FINANCEIRAS                                                       S06
2018329021010100000JUROS DO CAMINHO DA ESCOLA                                                                                    A07
2018329021020000000JUROS DA DIVIDA CONTRATADA COM GOVERNOS                                                                       S06
2018329021020100000JUROS DA DIVIDA CONTRATADA COM A UNIAO                                                                        A07
2018329021020200000JUROS DA DIVIDA CONTRATADA COM O ESTADO                                                                       A07
2018329021030000000JUROS DA DIVIDA CONTRATADA NO EXTERIOR                                                                        A06
2018329021990000000OUTROS JUROS DA DIVIDA CONTRATADA                                                                             A06
2018329022000000000OUTROS ENCARGOS SOBRE A DVIDA POR CONTRATO                                                                    S05
2018329022010000000ENCARGOS DA DIVIDA CONTRATADA COM INSTITUICOES FINANCEIRAS                                                    A06
2018329022020000000ENCARGOS DA DIVIDA CONTRATADA COM GOVERNOS                                                                    S06
2018329022020100000ENCARGOS DA DIVIDA CONTRATADA COM A UNIAO                                                                     A07
2018329022020200000ENCARGOS DA DIVIDA CONTRATADA COM O ESTADO                                                                    A07
2018329022990000000DIVERSOS ENCARGOS DA DIVIDA CONTRATADA                                                                        A06
2018329023000000000JUROS DESGIOS E DESCONTOS DA DVIDA MOBILIRIA                                                                  S05
2018329023010000000JUROS                                                                                                         A06
2018329023020000000DESAGIOS                                                                                                      A06
2018329023030000000DESCONTOS                                                                                                     A06
2018329024000000000OUTROS ENCARGOS SOBRE A DVIDA MOBILIRIA                                                                       S05
2018329024010000000ENCARGOS                                                                                                      A06
2018329025000000000ENCARGOS SOBRE OPERAES DE CRDITO POR ANTECIPAO DA RECEITA                                                     S05
2018329025010000000ENCARGOS SOBRE ADIANTAMENTOS BANCARIOS                                                                        A06
2018329091000000000SENTENCAS JUDICIAIS                                                                                           A05
2018329092000000000DESPESAS DE EXERCICIOS ANTERIORES                                                                             S05
2018329092010000000JUROS DA DIVIDA INTERNA                                                                                       A06
2018329092020000000ENCARGOS DA DIVIDA INTERNA                                                                                    A06
2018329092040000000ENCARGOS DA DIVIDA EXTERNA                                                                                    A06
2018329093000000000INDENIZAES E RESTITUIES                                                                                       S05
2018329093990000000OUTRAS INDENIZACOES E RESTITUICOES                                                                            A06
2018330000000000000OUTRAS DESPESAS CORRENTES                                                                                     S02
2018332000000000000TRANSFERENCIAS A UNIAO                                                                                        S03
2018332001000000000APOSENTADORIAS RESERVA REMUNERADA E REFORMAS                                                                  S05
2018332001010000000COMPENSACAO PREVIDAPOSENTADORIAS ENTRE RPPS E RGPS                                                            S06
2018332001010100000COMPENSACAO PREVIDENCIARIA - APOSENTADORIAS ENTRE PM E RGPS                                                   A07
2018332001010200000COMPENSACAO PREVIDENCIARIA - APOSENTADORIAS ENTRE RPPS E RGPS                                                 A07
2018332003000000000PENSOES                                                                                                       S05
2018332003010000000COMPENSACAO PREVIDDE PENSOES ENTRE RPPS E RGPS                                                                S06
2018332003010100000COMPENSACAO PREVIDENCIARIA - PENSOES ENTRE PM E RGPS                                                          A07
2018332003010200000COMPENSACAO PREVIDENCIARIA - PENSOES ENTRE RPPS E RGPS                                                        A07
2018332039000000000OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                                                S05
2018332039000100000PAGAMENTO DE LAUDEMIO                                                                                         A07
2018332041000000000CONTRIBUICOES                                                                                                 S05
2018332041990000000OUTRAS CONTRIBUICOES                                                                                          S06
2018332041990100000TRANSFERENCIAS FUNSET-FUNDO NACSEGURANCA EDUCTRANSITOLF 9503/97                                               A07
2018332041990200000TRANSFERENCIA VALORES A JUSTICA ELEITORAL                                                                     A07
2018332093000000000INDENIZAES E RESTITUIES                                                                                       S05
2018332093000100000RESTITUICAO DE TRANSFERENCIAS E CONVENIOS RECEBIDOS DA UNIAO                                                  A07
2018332200000000000EXECUO ORAMENTRIA DELEGADA  UNIO                                                                              S04
2018332230000000000MATERIAL DE CONSUMO                                                                                           A05
2018332239000000000OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                                                A05
2018333000000000000TRANSFERENCIAS A ESTADOS E AO DISTRITO FEDERAL                                                                S03
2018333041000000000CONTRIBUICOES                                                                                                 S05
2018333041390000000RIO GRANDE DO SUL                                                                                             S06
2018333041390100000COMPENSACAO FINANCEIRA 9 ART201 DA CF                                                                         A07
2018333041390200000PROGRAMA TROCA-TROCA                                                                                          A07
2018333041390300000TRANSFERENCIAS PARA GRUPAMENTOS DE INCENDIO                                                                   A07
2018333043000000000SUBVENCOES SOCIAIS                                                                                            S05
2018333043390000000RIO GRANDE DO SUL                                                                                             A06
2018333047000000000OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                                        S05
2018333047990000000OUTRAS OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                                 A06
2018333093000000000INDENIZAES E RESTITUIES                                                                                       S05
2018333093390000000RIO GRANDE DO SUL                                                                                             S06
2018333093390100000RESTITUICAO DE TRANSFERENCIAS E CONVENIOS RECEBIDOS DO ESTADO                                                 A07
2018333093390200000RESTITUICAO DE IPVA                                                                                           A07
2018333100000000000TRANSFERNCIAS A ESTADOS E AO DISTRITO FEDERAL - FUNDO A FUNDO                                                 S04
2018333141000000000CONTRIBUIES                                                                                                   A05
2018333200000000000EXECUO ORAMENTRIA DELEGADA A ESTADOS E AO DISTRITO FEDERAL                                                    S04
2018333230000000000MATERIAL DE CONSUMO                                                                                           A05
2018333239000000000OUTROS SERVIOS DE TERCEIROS - PESSOA JURDICA                                                                  A05
2018334000000000000TRANSFERENCIAS A MUNICIPIOS                                                                                   S03
2018334041000000000CONTRIBUICOES                                                                                                 S05
2018334041390000000A MUNICIPIOS DO ESTADO DO RIO GRANDE DO SUL                                                                   S06
2018334041390100000COMPENSACAO FINANCEIRA 9 ART201 DA CF                                                                         A07
2018334041390200000CONTRIBUICOES A ESCOLAS MUNICIPAIS                                                                            A07
2018334041390300000CONTRIBUICOES MUNICIPIO POLO DA CONTRAPARTIDA CONVENIO C/UNIAO                                                A07
2018334041390400000TRANSFERENCIA A MUNICIPIO EMANCIPADO PARA ACERTO DE  CONTAS                                                   A07
2018334047000000000OBRIGAES TRIBUTARIAS E CONTRIBUTIVAS                                                                          S05
2018334047990000000OUTRAS OBRIGAES TRIBUTARIAS E CONTRIBUTIVAS                                                                   S06
2018334047990100000CONTRIBUIO PATRONAL PARA  RPPS DE OUTRO MUNICIPIO                                                             A07
2018334093000000000INDENIZACOES E RESTITUICOES                                                                                   S05
2018334093990000000OUTRAS INDENIZACOES E RESTITUICOES                                                                            S06
2018334093990100000RESTITUICAO DE TRANSFERENCIAS E CONVENIOS RECEBIDOS DOS MUNICIPIOS                                            A07
2018334200000000000EXECUO ORAMENTRIA DELEGADA A MUNICPIOS                                                                        S04
2018334239000000000OUTROS SERVIOS DE TERCEIROS - PESSOA JURDICA                                                                  A05
2018335000000000000TRANSFERNCIAS A INSTITUIES PRIVADAS SEM FINS LUCRATIVOS                                                       S03
2018335041000000000CONTRIBUICOES                                                                                                 S05
2018335041010000000INSTITUICOES DE CARATER ASSISTENCIAL  CULTURAL E EDUCACIONAL                                                  S06
2018335041010100000PROGRAMA DINHEIRO DIRETO NAS ESCOLAS - PDDE                                                                   A07
2018335041030000000INSTITUICOES DE PESQUISA  E DESENVOLVIMENTO TECNOLOGICO                                                       A06
2018335041080000000ENTIDADES REPRESENTATIVAS DE CLASSE                                                                           A06
2018335041990000000OUTRAS INSTITUICOES PRIVADAS                                                                                  A06
2018335043000000000SUBVENCOES SOCIAIS                                                                                            S05
2018335043010000000INSTITUICOES DE CARATER ASSISTENCIAL  CULTURAL E EDUCACIONAL                                                  A06
2018335043990000000OUTRAS INSTITUICOES PRIVADAS                                                                                  A06
2018335092000000000DESPESAS DE EXERCICIOS ANTERIORES                                                                             S05
2018335092990000000OUTRAS DESPESAS DE EXERCICIOS ANTERIORES                                                                      A06
2018335093000000000INDENIZAES E RESTITUIES                                                                                       S05
2018335093020000000RESTITUICOES                                                                                                  S06
2018335093020100000RESTITUIES A ENTIDADES PRIVADAS SEM FINS LUCRATIVOS                                                           A07
2018336000000000000TRANSFERNCIAS A INSTITUIES PRIVADAS COM FINS LUCRATIVOS                                                       S03
2018336045000000000SUBVENES ECONMICAS                                                                                            A05
2018337000000000000TRANSFERNCIAS A INSTITUIES MULTIGOVERNAMENTAIS                                                                S03
2018337041000000000CONTRIBUICOES                                                                                                 S05
2018337041990000000OUTRAS CONTRIBUICOES                                                                                          S06
2018337100000000000TRANSFERNCIAS A CONSRCIOS PBLICOS                                                                             S04
2018337170000000000RATEIO PELA PARTICIPAO EM CONSRCIO PBLICO                                                                     S05
2018337170010000000COFRON                                                                                                        A06
2018337170020000000CISMISSOES                                                                                                    A06
2018337170030000000CIGRES                                                                                                        A06
2018337200000000000EXECUO ORAMENTRIA DELEGADA A CONSRCIOS PBLICOS                                                                S04
2018337239000000000OUTROS SERVIOS DE TERCEIROS - PESSOA JURDICA                                                                  A05
2018339000000000000APLICAES DIRETAS                                                                                              S03
2018339014000000000DIRIAS -  CIVIL                                                                                               S05
2018339014140000000DIARIAS NO PAIS                                                                                               A06
2018339014160000000DIARIAS NO EXTERIOR                                                                                           A06
2018339014990000000OUTRAS DIARIAS                                                                                                A06
2018339018000000000AUXLIO FINANCEIRO A ESTUDANTES                                                                                S05
2018339018010000000BOLSAS DE ESTUDO NO PAIS                                                                                      A06
