12292535000162010120253101202527022025CAMARA DE VEREADORES DE INDEPENDENCIA-RS                                        
2005300000000000000DESPESAS CORRENTES                                                                                            S01
2005319013010200000FGTS - PROFESSORES NO EFETIVO EXERCICIO DO MAGISTERIO 60 FUNDEF                                               A07
2005319013020000000CONTRIBUICOES PREVIDENCIARIAS - INSS                                                                          S06
2005319013020100000INSS - SERVIDORES                                                                                             A07
2005319013020200000INSS - PROFESSORES NO EFETIVO EXERCICIO DO MAGISTERIO 60 FUNDEF                                               A07
2005319013020300000INSS - AGENTES POLITICOS                                                                                      A07
2005319013020400000INSS SOBRE SESSAO EXTRAORDINARIA - AGENTES POLITICOS                                                          A07
2005319013020500000INSS SOBRE CONVOCACAO EXTRAORDINARIA - AGENTES POLITICOS                                                      A07
2005319013150000000MULTAS                                                                                                        A06
2005319013990000000OUTRAS OBRIGACOES PATRONAIS                                                                                   A06
2005319016000000000OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                                     S05
2005319016040000000CONVOCACAO EXTRAORDINARIA                                                                                     A06
2005319016320000000SUBSTITUICOES                                                                                                 A06
2005319016440000000SERVICOS EXTRAORDINARIOS                                                                                      A06
2005319016990000000OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                                     S06
2005319016990100000AJUDA DE CUSTO                                                                                                A07
2005319016990200000REMOCOES                                                                                                      A07
2005319016990300000SESSOES EXTRAORDINARIAS                                                                                       A07
2005319016990400000GRATIFICAAO MENSAL                                                                                            S07
2005319016990400100GRATIFICAAO MENSAL - PSF                                                                                      A08
2005319016990400200GRATIFICAAO MENSAL - PSF BUCAL                                                                                A08
2005319016990400300GRATIFICAAO MENSAL - PROG INVERNO GAUCHO C/SADE                                                               A08
200531901699040040013O SALRIO GRATIFICAAO DO PSF                                                                                 A08
200531901699040050013O SALRIO GRATIFICAAO PSF BUCAL                                                                              A08
200531901699040060013O SALRIO GRATIFICAAO DEMAIS                                                                                 A08
2005319016990500000AUXLIO A INCAPACITADO P/ACIDENTE                                                                              A07
2005319034000000000OUTRAS DESPESAS DE PESSOAL DECORRENTES DE  CONTRATOS DE TERCEIRIZACAO                                         S05
2005319034010000000SUBSTITUICAO  DE MAO-DE-OBRA  ART18 PAR1 LC 101                                                               A06
2005319036000000000OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA                                                                  S05
2005319036000100000ESPECIFICACAO DAS CONTAS                                                                                      A07
2005319046000000000AUXILIO-ALIMENTACAO                                                                                           S05
2005319046000100000AUXILIO-ALIMENTACAO - PROFESSORES NO EFETIVO EXERCICIO DO MAGISTERIO 60 FUNDEF                                A07
2005319046000200000AUXILIO-ALIMENTACAO - SERVIDORES                                                                              A07
2005319047000000000OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                                        S05
2005319047010000000CONTRIBUICAO PARA O PASEP                                                                                     S06
2005319047010100000PASEP-SERVIDORES                                                                                              A07
2005319047010200000PASEP- PROFESSORES NO EFETIVO EXERCICIO DO MAGISTERIO 60 FUNDEF                                               A07
2005319047020000000CONTRIBUICAO SUPLEMENTAR AO FGTS                                                                              A06
2005319047030000000PAGAMENTO DE PARCELAMENTO DE DIVIDAS COM ENCARGOS SOCIAIS                                                     A06
2005319047040000000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A06
2005319067000000000DEPOSITOS COMPULSORIOS                                                                                        S05
2005319067020000000DEPOSITOS JUDICIAIS                                                                                           A06
2005319067030000000DEPOSITOS PARA RECURSOS                                                                                       A06
2005319067990000000OUTROS DEPOSITOS COMPULSORIOS                                                                                 A06
2005319091000000000SENTENCAS JUDICIAIS                                                                                           S05
2005319091010000000PRECATORIOS - ATIVO CIVIL                                                                                     A06
2005319091060000000SENTENCAS JUDICIAIS DE PEQUENO VALOR                                                                          A06
2005319091230000000PRECATORIOS - INATIVO CIVIL                                                                                   A06
2005319091360000000PRECATORIOS - PENSIONISTA CIVIL                                                                               A06
2005319092000000000DESPESAS DE EXERCICIOS ANTERIORES                                                                             S05
2005319092010000000ATIVO CIVIL                                                                                                   A06
2005319092020000000INATIVO CIVIL                                                                                                 A06
2005319092040000000OUTRAS DESPESAS VARIAVEIS - CIVIL                                                                             A06
2005319092050000000OBRIGACOES PATRONAIS - ATIVO CIVIL                                                                            A06
2005319092060000000OBRIGACOES PATRONAIS - INATIVO CIVIL                                                                          A06
2005319092120000000PENSIONISTA CIVIL                                                                                             A06
2005319092230000000GRATIFICACAO POR TEMPO DE SERVICO-ANUENIO ATIVO CIVIL                                                         A06
2005319092240000000GRATIFICACAO POR  TEMPO DE SERVICO-ANUENIO INATIVO CIVIL                                                      A06
2005319092250000000GRATIFICACAO POR TEMPO DE SERVICO-ANUENIO PENSIONISTA  CIVIL                                                  A06
2005319092260000000RESSARCIMENTO DE DESPESAS DE PESSOAL REQUISITADO                                                              A06
2005319092910000000PRECATORIOS                                                                                                   A06
2005319092990000000OUTRAS DESPESAS DE EXERCICIOS ANTERIORES                                                                      A06
2005319094000000000INDENIZACOES TRABALHISTAS                                                                                     S05
2005319094010000000INDENIZACOES TRABALHISTAS - ATIVO CIVIL                                                                       S06
2005319094010100000INDENIZACAO PARA DEMISSAO DE SERVIDORES/ EMPREGADOS                                                           A07
2005319094010200000DESPESAS RELATIVAS A PROGRAMAS DE  DESLIGAMENTO VOLUNTARIO                                                    A07
2005319094010300000FERIAS E/OU AVISO PREVIO INDENIZADO                                                                           A07
2005319094010400000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005319094030000000INDENIZACOES TRABALHISTAS - INATIVO CIVIL                                                                     A06
2005319094130000000INDENIZACOES TRABALHISTAS - PENSIONISTA CIVIL                                                                 A06
2005319094990000000DIVERSAS INDENIZACOES TRABALHISTAS                                                                            A06
2005319096000000000RESSARCIMENTO DE DESPESAS  DE PESSOAL REQUISITADO                                                             S05
2005319096010000000PESSOAL REQUISITADO DE OUTROS ORGAOS                                                                          A06
2005320000000000000JUROS E ENCARGOS DA DIVIDA                                                                                    S02
2005329000000000000APLICACOES DIRETAS                                                                                            S03
2005329021000000000JUROS SOBRE A DIVIDA POR CONTRATO                                                                             S05
2005329021010000000JUROS DA DIVIDA CONTRATADA COM INSTITUICOES FINANCEIRAS                                                       A06
2005329021020000000JUROS DA DIVIDA CONTRATADA COM GOVERNOS                                                                       A06
2005329021030000000JUROS DA DIVIDA CONTRATADA NO EXTERIOR                                                                        A06
2005329021990000000OUTROS JUROS DA DIVIDA CONTRATADA                                                                             A06
2005329022000000000OUTROS ENCARGOS SOBRE A DIVIDA POR CONTRATO                                                                   S05
2005329022010000000ENCARGOS DA DIVIDA CONTRATADA COM INSTITUICOES FINANCEIRAS                                                    A06
2005329022020000000ENCARGOS DA DIVIDA CONTRATADA COM GOVERNOS                                                                    A06
2005329022990000000DIVERSOS ENCARGOS DA DIVIDA CONTRATADA                                                                        A06
2005329023000000000JUROS DESAGIOS E DESCONTOS DA DIVIDA MOBILIARIA                                                               S05
2005329023010000000JUROS                                                                                                         A06
2005329023020000000DESAGIOS                                                                                                      A06
2005329023030000000DESCONTOS                                                                                                     A06
2005329024000000000OUTROS ENCARGOS SOBRE A DIVIDA MOBILIARIA                                                                     S05
2005329024010000000ENCARGOS                                                                                                      A06
2005329025000000000ENCARGOS SOBRE OPERACOES DE CREDITO POR ANTECIPACAO  DA RECEITA                                               S05
2005329025010000000ENCARGOS SOBRE ADIANTAMENTOS BANCARIOS                                                                        A06
2005329032990200000MATERIAIS DE USO NA SADE                                                                                      S07
2005329091000000000SENTENCAS JUDICIAIS                                                                                           A05
2005329092000000000DESPESAS DE EXERCICIOS ANTERIORES                                                                             S05
2005329092010000000JUROS DA DIVIDA INTERNA                                                                                       A06
2005329092020000000ENCARGOS DA DIVIDA INTERNA                                                                                    A06
2005329092040000000ENCARGOS DA DIVIDA EXTERNA                                                                                    A06
2005329093000000000INDENIZACOES E RESTITUICOES                                                                                   S05
2005329093990000000OUTRAS INDENIZACOES E RESTITUICOES                                                                            A06
2005330000000000000OUTRAS DESPESAS CORRENTES                                                                                     S02
2005332000000000000TRANSFERENCIAS A UNIAO                                                                                        S03
2005332001000000000APOSENTADORIAS E REFORMAS                                                                                     S05
2005332001010000000COMPENSACAO PREVIDAPOSENTADORIAS ENTRE RPPS E RGPS                                                            A06
2005332003000000000PENSOES                                                                                                       S05
2005332003010000000COMPENSACAO PREVIDDE PENSOES ENTRE RPPS E RGPS                                                                A06
2005332039000000000OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                                                S05
2005332039000100000PAGAMENTO DE LAUDEMIO                                                                                         A07
2005332041000000000CONTRIBUICOES                                                                                                 S05
2005332041990000000OUTRAS CONTRIBUICOES                                                                                          S06
2005332041990100000TRANSFERENCIAS FUNSET-FUNDO NACSEGURANCA EDUCTRANSITOLF 9503/97                                               A07
2005332041990200000TRANSFERENCIA VALORES A JUSTICA ELEITORAL                                                                     A07
2005332093000000000INDENIZACOES E RESTITUICOES                                                                                   S05
2005332093000100000RESTITUICAO DE TRANSFERENCIAS E CONVENIOS RECEBIDOS DA UNIAO                                                  A07
2005332093000200000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005333000000000000TRANSFERENCIAS A ESTADOS E AO DISTRITO FEDERAL                                                                S03
2005333041000000000CONTRIBUICOES                                                                                                 S05
2005333041390000000RIO GRANDE DO SUL                                                                                             S06
2005333041390100000COMPENSACAO FINANCEIRA 9 ART201 DA CF                                                                         A07
2005333041390200000PROGRAMA TROCA-TROCA                                                                                          A07
2005333041390300000TRANSFERENCIAS PARA GRUPAMENTOS DE INCENDIO                                                                   A07
2005333041390400000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005333043000000000SUBVENCOES SOCIAIS                                                                                            S05
2005333043390000000RIO GRANDE DO SUL                                                                                             S06
2005333043390100000ESPECIFICACAO DAS CONTAS                                                                                      A07
2005333093000000000INDENIZACOES E RESTITUICOES                                                                                   S05
2005333093390000000RIO GRANDE DO SUL                                                                                             S06
2005333093390100000RESTITUICAO DE TRANSFERENCIAS E CONVENIOS RECEBIDOS DO ESTADO                                                 A07
2005333093390200000RESTITUICAO DE IPVA                                                                                           A07
2005333093390300000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005334000000000000TRANSFERENCIAS A MUNICIPIOS                                                                                   S03
2005334041000000000CONTRIBUICOES                                                                                                 S05
2005334041390000000A MUNICIPIOS DO ESTADO DO RIO GRANDE DO SUL                                                                   S06
2005334041390100000COMPENSACAO FINANCEIRA 9 ART201 DA CF                                                                         A07
2005334041390200000CONTRIBUICOES A ESCOLAS MUNICIPAIS                                                                            A07
2005334041390300000CONTRIBUICOES MUNICIPIO POLO DA CONTRAPARTIDA CONVENIO C/UNIAO                                                A07
2005334041390400000TRANSFERENCIA A MUNICIPIO EMANCIPADO PARA ACERTO DE  CONTAS                                                   A07
2005334041390500000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005334093000000000INDENIZACOES E RESTITUICOES                                                                                   S05
2005334093990000000OUTRAS INDENIZACOES E RESTITUICOES                                                                            S06
2005334093990100000RESTITUICAO DE TRANSFERENCIAS E CONVENIOS RECEBIDOS DOS MUNICIPIOS                                            A07
2005334093990200000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005335000000000000TRANSFERENCIAS  A INSTITUICOES  PRIVADAS SEM FINS LUCRATIVOS                                                  S03
2005335041000000000CONTRIBUICOES                                                                                                 S05
2005335041010000000INSTITUICOES DE CARATER ASSISTENCIAL  CULTURAL E EDUCACIONAL                                                  S06
2005335041010100000PROGRAMA DINHEIRO DIRETO NAS ESCOLAS - PDDE                                                                   A07
2005335041010200000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005335041030000000INSTITUICOES DE PESQUISA  E DESENVOLVIMENTO TECNOLOGICO                                                       A06
2005335043000000000SUBVENCOES SOCIAIS                                                                                            S05
2005335043010000000INSTITUICOES DE CARATER ASSISTENCIAL  CULTURAL E EDUCACIONAL                                                  A06
2005335043990000000OUTRAS INSTITUIOES PRIVADAS                                                                                   A06
2005336000000000000TRANSFERENCIAS A INSTITUICOES  PRIVADAS COM FINS LUCRATIVOS                                                   S03
2005336041000000000CONTRIBUICOES                                                                                                 A05
2005337000000000000TRANSFERENCIAS  A INSTITUICOES MULTIGOVERNAMENTAIS                                                            S03
2005337041000000000CONTRIBUICOES                                                                                                 S05
2005337041990000000OUTRAS CONTRIBUICOES                                                                                          S06
2005337041990100000TRANSFERENCIA PARA O FUNDEF CONTRIBUICAO DO MUNICIPIO                                                         A07
2005337041990200000CONTRIBUICOES PARA MANUTENCAO DOS CONSORCIOS                                                                  A07
2005337041990300000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005339000000000000APLICACOES DIRETAS                                                                                            S03
2005339001000000000APOSENTADORIAS E REFORMAS                                                                                     S05
2005339001010000000PROVENTOS - PESSOAL CIVIL                                                                                     A06
200533900106000000013 SALARIO - PESSOAL CIVIL                                                                                    A06
2005339001990000000OUTRAS APOSENTADORIAS E REFORMAS                                                                              A06
2005339003000000000PENSOES                                                                                                       S05
2005339003010000000CIVIS                                                                                                         A06
200533900303000000013 SALARIO - PENSIONISTA CIVIL                                                                                A06
2005339003990000000OUTRAS PENSOES                                                                                                A06
2005339004000000000CONTRATACAO POR TEMPO DETERMINADO                                                                             S05
2005339004150000000OBRIGACOES PATRONAIS                                                                                          A06
2005339004990000000OUTRAS CONTRATACOES POR TEMPO DETERMINADO                                                                     A06
2005339005000000000OUTROS BENEFICIOS PREVIDENCIARIOS                                                                             S05
2005339005510000000AUXILIO-DOENCA                                                                                                S06
2005339005510100000PESSOAL ATIVO                                                                                                 A07
2005339005510200000PESSOAL INATIVO E PENSIONISTA                                                                                 A07
2005339005530000000AUXILIO-RECLUSAO                                                                                              S06
2005339005530100000PESSOAL ATIVO                                                                                                 A07
2005339005530200000PESSOAL INATIVO E PENSIONISTA                                                                                 A07
2005339005540000000AUXILIO-ACIDENTE                                                                                              S06
2005339005540100000PESSOAL ATIVO                                                                                                 A07
2005339005540200000PESSOAL INATIVO E PENSIONISTA                                                                                 A07
2005339005550000000SALARIO-FAMILIA DE SEGURADOS                                                                                  S06
2005339005550100000PESSOAL ATIVO                                                                                                 A07
2005339005550200000PESSOAL INATIVO E PENSIONISTA                                                                                 A07
2005339005560000000SALARIO-MATERNIDADE                                                                                           S06
2005339005560100000PESSOAL ATIVO                                                                                                 A07
2005339005560200000PESSOAL INATIVO E PENSIONISTA                                                                                 A07
2005339005990000000OUTROS BENEFICIOS PREVIDENCIARIOS                                                                             A06
2005339008000000000OUTROS BENEFICIOS ASSISTENCIAIS                                                                               S05
2005339008510000000AUXILIO-DOENCA                                                                                                A06
2005339008520000000AUXILIO-NATALIDADE                                                                                            A06
2005339008530000000AUXILIO-RECLUSAO                                                                                              A06
2005339008540000000AUXILIO-FUNERAL                                                                                               A06
2005339008550000000AUXILIO-CRECHE                                                                                                A06
2005339008990000000OUTROS BENEFICIOS ASSISTENCIAIS                                                                               S06
2005339008990100000ASSISTENCIA PRE-ESCOLAR                                                                                       A07
2005339008990200000AUXILIO-INVALIDEZ                                                                                             A07
2005339008990300000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005339009000000000SALARIO-FAMILIA                                                                                               S05
2005339009010000000SALARIO-FAMILIA - ATIVO PESSOAL CIVIL                                                                         A06
2005339009020000000SALARIO-FAMILIA - INATIVO PESSOAL CIVIL                                                                       A06
2005339009050000000SALARIO-FAMILIA - PENSIONISTA PESSOAL CIVIL                                                                   A06
2005339013000000000OBRIGACOES PATRONAIS                                                                                          S05
2005339013010000000FGTS                                                                                                          A06
2005339013020000000CONTRIBUICOES PREVIDENCIARIAS - INSS                                                                          A06
2005339013990000000OUTRAS OBRIGACOES PATRONAIS                                                                                   S06
2005339013990100000ESPECIFICACAO DAS CONTAS                                                                                      A07
2005339014000000000DIARIAS - PESSOAL CIVIL                                                                                       S05
2005339014140000000DIARIAS NO PAIS                                                                                               A06
2005339014160000000DIARIAS NO EXTERIOR                                                                                           A06
2005339014990000000OUTRAS DIARIAS                                                                                                A06
2005339018000000000AUXILIO FINANCEIRO A ESTUDANTES                                                                               S05
2005339018010000000BOLSAS DE ESTUDO NO PAIS                                                                                      A06
2005339018020000000BOLSAS DE ESTUDO NO EXTERIOR                                                                                  A06
2005339018030000000BOLSA ESCOLA - BENEFICIO                                                                                      A06
2005339018990000000OUTROS AUXILIOS FINANCEIROS A ESTUDANTES                                                                      A06
2005339020000000000AUXILIO FINANCEIRO A PESQUISADORES                                                                            S05
2005339020010000000AUXILIO A PESQUISADORES                                                                                       A06
2005339030000000000MATERIAL DE CONSUMO                                                                                           S05
2005339030010000000COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS                                                                      A06
2005339030020000000COMBUSTIVEIS E LUBRIFICANTES DE AVIACAO                                                                       A06
2005339030030000000COMBUSTIVEIS E LUBRIFICANTES  PARA  OUTRAS FINALIDADES                                                        A06
2005339030040000000GAS E OUTROS MATERIAIS ENGARRAFADOS                                                                           A06
2005339030050000000EXPLOSIVOS E MUNICOES                                                                                         A06
2005339030060000000ALIMENTOS PARA ANIMAIS                                                                                        A06
2005339030070000000GENEROS DE ALIMENTACAO                                                                                        A06
2005339030080000000ANIMAIS PARA PESQUISA E ABATE                                                                                 A06
2005339030090000000MATERIAL FARMACOLOGICO                                                                                        A06
2005339030100000000MATERIAL ODONTOLOGICO                                                                                         A06
2005339030110000000MATERIAL QUIMICO                                                                                              A06
2005339030120000000MATERIAL DE COUDELARIA OU DE USO ZOOTECNICO                                                                   A06
2005339030130000000MATERIAL DE CACA E PESCA                                                                                      A06
2005339030140000000MATERIAL EDUCATIVO E ESPORTIVO                                                                                A06
